@RELATION clickbait_sample

@ATTRIBUTE id STRING
@ATTRIBUTE "word count" NUMERIC
@ATTRIBUTE "average word length" NUMERIC
@ATTRIBUTE "length of the longest word" NUMERIC
@ATTRIBUTE "whether start with number" {True, False}
@ATTRIBUTE "whether start with who/what/why/where/when/how" {True, False}
@ATTRIBUTE "number of stopwords" NUMERIC
@ATTRIBUTE polarity NUMERIC
@ATTRIBUTE subjectivity NUMERIC
@ATTRIBUTE "number of capital letters" NUMERIC
@ATTRIBUTE "number of all capital WORDS" NUMERIC
@ATTRIBUTE "number of punctuation (?, !)" NUMERIC
@ATTRIBUTE "number of bait words" NUMERIC
@ATTRIBUTE "presence of bait words" {True, False}
@ATTRIBUTE label {no-clickbait, clickbait}

@DATA
858360136276086784,7,6.857142857142857,11,False,False,1,0.0,0.0,2,0,0,0,False,no-clickbait
858351082812133377,12,5.416666666666667,10,False,False,3,0.0,0.0,4,1,0,0,False,no-clickbait
858312247537520641,10,5.2,15,False,False,4,0.0,0.0,3,0,1,0,False,no-clickbait
858311661098283011,10,5.1,9,False,False,2,0.0,0.0,3,0,0,0,False,no-clickbait
858307740313284609,15,4.733333333333333,10,False,False,4,0.0,0.1,3,0,0,0,False,no-clickbait
858245872802349057,8,6.125,13,False,False,2,0.41666666666666663,0.6666666666666666,3,0,1,1,True,no-clickbait
858179732285800448,9,6.111111111111111,8,False,False,1,0.0,0.0,5,0,0,0,False,no-clickbait
858129505768132608,13,5.3076923076923075,11,True,False,1,0.0,0.0,2,0,1,0,False,clickbait
858116220683522051,17,4.117647058823529,8,False,True,7,0.25,0.3333333333333333,3,0,0,0,False,no-clickbait
858086719509417984,16,4.3125,7,False,False,7,0.21212121212121213,0.6515151515151515,1,1,0,0,False,no-clickbait
858048174249791488,16,5.625,13,False,False,6,-0.3388888888888889,0.5472222222222223,3,1,0,0,False,no-clickbait
858033129562550273,18,5.277777777777778,13,False,False,5,0.1,0.4,4,0,0,0,False,no-clickbait
858000621995270144,15,4.933333333333334,11,False,False,6,-0.2,0.0,9,1,0,0,False,no-clickbait
857999444356321280,14,4.5,7,False,False,4,0.0625,0.5,4,0,0,0,False,no-clickbait
857991563888218113,14,4.642857142857143,9,False,False,6,0.0,0.0,1,1,0,0,False,clickbait
857990053221597185,15,4.6,7,False,False,4,0.0,0.0,5,0,0,0,False,no-clickbait
857988090102722561,14,5.5,10,False,False,3,0.0,0.1,1,0,0,0,False,no-clickbait
857985580734480385,15,5.0,10,False,False,6,0.0,0.0,2,0,0,0,False,no-clickbait
857977636894781440,7,7.428571428571429,11,False,False,0,0.0,0.0,3,0,0,0,False,no-clickbait
857957613241331714,18,5.222222222222222,15,False,False,7,0.0,0.4,2,0,0,0,False,no-clickbait
857951287597555712,12,4.666666666666667,11,False,False,4,0.06818181818181818,0.22727272727272727,1,0,0,0,False,no-clickbait
857938577459642369,11,4.545454545454546,8,False,False,3,0.0,0.0,1,0,0,0,False,no-clickbait
857936075603537920,10,6.9,10,False,False,1,0.0,0.0,2,0,0,0,False,no-clickbait
857872773905076225,12,5.333333333333333,10,False,False,2,0.13636363636363635,0.45454545454545453,5,1,0,0,False,no-clickbait
857867239327924224,17,5.705882352941177,9,False,False,4,0.0,0.0,3,0,0,0,False,no-clickbait
857845735240478720,12,5.666666666666667,11,False,False,4,-0.16666666666666666,0.06666666666666667,1,0,0,0,False,no-clickbait
857798047509745664,13,4.538461538461538,9,False,False,5,0.1,0.2,1,0,0,1,True,no-clickbait
857769816282857472,9,4.888888888888889,8,False,False,2,0.0,0.0,5,0,0,0,False,no-clickbait
857741193496735746,15,4.533333333333333,9,False,False,5,0.0,0.0,8,0,0,0,False,no-clickbait
857728098682499072,14,3.7857142857142856,8,False,False,7,0.0,0.0,3,0,0,2,True,clickbait
857685832068718592,4,7.0,9,False,False,0,0.13636363636363635,0.5,5,1,0,0,False,no-clickbait
857684800118956032,9,5.0,7,False,False,4,0.0,0.0,11,2,0,0,False,clickbait
857675828859068416,10,6.3,13,False,False,2,0.0,0.125,8,1,0,0,False,no-clickbait
857636719818100736,15,4.733333333333333,7,False,False,4,0.0,0.0,7,1,0,1,True,no-clickbait
857507122896146432,8,5.0,11,False,False,4,0.5,0.5,3,0,0,0,False,clickbait
857460066034823168,6,8.333333333333334,17,False,False,0,0.25,0.3333333333333333,1,0,0,0,False,no-clickbait
857459367351865344,13,5.0,10,False,False,3,0.25,0.3,7,0,0,1,True,no-clickbait
857370709550616576,13,4.615384615384615,7,False,False,4,0.125,0.42500000000000004,2,0,0,0,False,no-clickbait
857366456216023041,16,4.75,11,False,False,6,0.0,0.0,2,0,0,0,False,no-clickbait
857341913954832386,15,6.533333333333333,13,False,False,2,0.0,0.05,2,0,0,0,False,no-clickbait
857329107100717057,13,5.538461538461538,15,False,False,6,0.0,0.0,2,0,1,0,False,no-clickbait
857288979443568641,10,5.2,8,False,False,2,0.0,0.0,3,0,0,0,False,no-clickbait
857278320605626368,11,5.818181818181818,17,False,False,4,0.2857142857142857,0.5357142857142857,4,0,0,1,True,no-clickbait
857237883563933697,16,4.75,11,False,False,6,0.0,0.0,8,1,0,0,False,no-clickbait
857232904623095811,13,4.923076923076923,8,False,False,3,0.41111111111111115,0.6888888888888888,4,0,0,0,False,no-clickbait
857214094604152833,11,4.545454545454546,8,False,False,3,-0.012500000000000011,0.675,1,0,0,0,False,no-clickbait
857212922832928769,11,5.545454545454546,12,False,False,2,0.0,0.0,4,0,0,0,False,no-clickbait
857211135497469953,1,10.0,10,False,False,0,0.0,0.0,0,0,0,0,False,clickbait
857202877017845760,14,4.214285714285714,8,False,False,6,0.0,0.0,4,1,0,0,False,no-clickbait
857185018413817856,8,6.5,11,False,False,2,0.0,0.75,3,0,0,0,False,clickbait
857149790672617474,17,5.176470588235294,11,False,False,5,0.4,1.0,4,0,0,0,False,no-clickbait
857003108832096257,13,4.076923076923077,7,False,False,4,-0.07777777777777779,0.14444444444444446,5,1,0,0,False,no-clickbait
856920087961501696,12,4.333333333333333,9,False,False,4,0.0,1.0,5,1,0,0,False,no-clickbait
856895617511174145,16,4.6875,9,False,False,6,0.0,0.5,5,1,0,0,False,no-clickbait
856876991479521280,14,5.285714285714286,9,False,False,4,0.0,0.0,3,0,0,0,False,no-clickbait
856847769117569026,12,5.416666666666667,8,False,False,2,0.8,1.0,6,0,0,0,False,no-clickbait
856822968906907648,10,3.7,6,False,False,4,0.0,0.0,7,2,0,0,False,no-clickbait
856715869321404416,9,6.222222222222222,11,False,False,2,0.0,0.0,3,0,0,0,False,no-clickbait
856711393046933505,18,4.0,8,False,False,8,0.25,0.3333333333333333,2,0,1,0,False,no-clickbait
856690751861903363,10,5.1,11,False,False,3,0.0,0.0,3,0,0,0,False,no-clickbait
856689512013025281,17,4.882352941176471,16,False,False,7,0.19318181818181818,0.3939393939393939,6,1,0,0,False,clickbait
856674185594228736,14,5.357142857142857,10,False,False,4,0.0,0.0,5,0,0,0,False,no-clickbait
856666347778052096,11,6.545454545454546,10,False,False,1,0.0,0.0,5,0,0,0,False,no-clickbait
856665065868677120,11,6.0,11,False,False,2,0.275,0.5,5,1,0,0,False,no-clickbait
856662932079476740,15,5.066666666666666,18,False,False,3,-0.15555555555555559,0.2888888888888889,6,0,0,0,False,no-clickbait
856662210545942532,13,4.846153846153846,11,False,False,3,-0.1,0.4,6,0,0,0,False,no-clickbait
856635255544881153,14,5.071428571428571,9,False,False,3,0.0,0.0,5,0,0,0,False,no-clickbait
856593561944457216,10,5.2,8,False,False,2,0.0,0.0,5,0,0,0,False,no-clickbait
856576246167240704,11,4.909090909090909,9,False,False,4,0.0,0.0,2,0,0,0,False,no-clickbait
856570577037012993,8,5.75,9,False,False,1,0.0,0.0,3,0,0,0,False,no-clickbait
856533726309879808,10,5.6,11,False,False,1,0.0,0.0,3,0,0,0,False,no-clickbait
856513813759262720,13,4.615384615384615,9,False,False,6,0.6,1.0,6,1,0,0,False,no-clickbait
856491327294451712,17,4.705882352941177,14,False,False,4,0.13636363636363635,0.45454545454545453,6,1,0,0,False,no-clickbait
856446514536861696,10,4.6,8,False,False,3,0.5,1.0,3,0,0,0,False,no-clickbait
856432661707055105,9,5.111111111111111,7,False,False,1,0.0,0.3333333333333333,6,0,0,0,False,no-clickbait
